	term	tag	value	pstv	ngtv	neut	dunno	pstvNgtvDisagreementRatio	Female	Male	F - M
13392	камнеломка	NEUT	0.07	0.16	0.06	0.52	0.26	0.0	0.52	0.622	-0.102
13393	камнемёт	NEUT	-0.34	0.049	0.291	0.456	0.204	0.0	0.462	0.646	-0.184
13394	камнепад	NGTV	-0.63	0.034	0.504	0.351	0.111	0.0	0.637	0.608	0.029
13395	камнерез	NEUT	0.17	0.214	0.036	0.536	0.214	0.0	0.451	0.74	-0.289
13396	камнетёс	NEUT	0.11	0.168	0.065	0.496	0.271	0.0	0.436	0.729	-0.293
13397	каморка	NEUT	0.0	0.034	0.103	0.553	0.31	0.0	0.534	0.659	-0.125
13398	кампания	NEUT	0.3	0.31	0.019	0.544	0.127	0.0	0.431	0.717	-0.286
13399	камуфлировать	NEUT	0.0	0.115	0.034	0.529	0.322	0.0	0.49	0.583	-0.093
13400	камуфляж	NEUT	0.12	0.209	0.1	0.6	0.091	0.0	0.401	0.566	-0.165
13401	камушек	NEUT	0.15	0.238	0.057	0.615	0.09	0.0	0.683	0.565	0.118
13402	камчатский	NEUT	0.07	0.175	0.035	0.579	0.211	0.0	0.522	0.617	-0.095
13403	камыш	NEUT	0.0	0.138	0.034	0.742	0.086	0.0	0.611	0.565	0.046
13404	камышовый	NEUT	0.0	0.069	0.0	0.724	0.207	0.0	0.606	0.667	-0.061
13405	канава	NEUT	-0.17	0.071	0.214	0.525	0.19	0.0	0.562	0.712	-0.15
13406	канавка	NEUT	0.0	0.146	0.073	0.586	0.195	0.0	0.485	0.757	-0.272
13407	канадец	NEUT	0.03	0.196	0.022	0.717	0.065	0.0	0.454	0.667	-0.213
13408	канадский	NEUT	0.0	0.125	0.021	0.75	0.104	0.0	0.457	0.645	-0.188
13409	канал	NEUT	0.06	0.207	0.034	0.69	0.069	0.0	0.307	0.619	-0.312
13410	канализационный	NEUT	-0.04	0.026	0.179	0.641	0.154	0.0	0.439	0.638	-0.199
13411	канализация	NEUT	-0.25	0.112	0.262	0.523	0.103	0.0	0.398	0.67	-0.272
13412	канареечный	NEUT	0.1	0.156	0.119	0.468	0.257	0.0	0.644	0.523	0.121
13413	канарейка	NEUT	0.54	0.47	0.017	0.419	0.094	0.0	0.652	0.543	0.109
13414	канат	NEUT	0.0	0.114	0.063	0.722	0.101	0.0	0.568	0.561	0.007
13415	канатик	NEUT	0.23	0.221	0.077	0.462	0.24	0.0	0.628	0.539	0.089
13416	канатный	NEUT	0.0	0.13	0.065	0.649	0.156	0.0	0.582	0.606	-0.024
13417	канатоходец	NEUT	0.16	0.22	0.093	0.56	0.127	0.0	0.585	0.623	-0.038
13418	кандалы	NGTV	-1.0	0.087	0.681	0.145	0.087	0.0	0.568	0.539	0.029
13419	канделябр	NEUT	0.17	0.181	0.095	0.448	0.276	0.0	0.617	0.629	-0.012
13420	кандидат	NEUT	0.05	0.188	0.021	0.645	0.146	0.0	0.399	0.751	-0.352
13421	кандидатка	NEUT	0.34	0.303	0.059	0.478	0.16	0.0	0.549	0.59	-0.041
13422	кандидатский	NEUT	0.29	0.275	0.046	0.496	0.183	0.0	0.346	0.631	-0.285
13423	кандидатура	NEUT	0.07	0.179	0.064	0.578	0.179	0.0	0.404	0.712	-0.308
13424	каникулы	PSTV	1.0	0.839	0.048	0.081	0.032	0.0	0.676	0.51	0.166
13425	канистра	NEUT	0.0	0.022	0.043	0.913	0.022	0.0	0.475	0.708	-0.233
13426	канитель	NGTV	-0.63	0.067	0.36	0.25	0.323	0.0	0.382	0.591	-0.209
13427	канкан	NEUT	0.3	0.225	0.039	0.393	0.343	0.0	0.564	0.657	-0.093
13428	каннибал	NGTV	-1.0	0.0	0.833	0.139	0.028	0.0	0.425	0.632	-0.207
13429	каннибализм	NGTV	-1.0	0.0	0.889	0.022	0.089	0.0	0.481	0.623	-0.142
13430	каннибальский	NGTV	-1.0	0.108	0.657	0.127	0.108	0.0	0.512	0.552	-0.04
13431	каннибальство	NGTV	-1.0	0.038	0.846	0.078	0.038	0.0	0.469	0.652	-0.183
13432	канон	NEUT	0.36	0.314	0.049	0.47	0.167	0.0	0.52	0.584	-0.064
13433	канонизация	NEUT	0.5	0.325	0.103	0.307	0.265	0.05	0.453	0.689	-0.236
13434	канонизировать	NEUT	0.46	0.31	0.08	0.35	0.26	0.0	0.399	0.61	-0.211
13435	канонический	NEUT	0.23	0.212	0.077	0.442	0.269	0.0	0.422	0.579	-0.157
13436	каноничность	NEUT	0.29	0.227	0.031	0.406	0.336	0.0	0.476	0.744	-0.268
13437	каноэ	NEUT	0.02	0.172	0.069	0.656	0.103	0.0	0.634	0.453	0.181
13438	кантри	NEUT	0.38	0.33	0.02	0.47	0.18	0.0	0.515	0.607	-0.092
13439	канун	NEUT	0.32	0.287	0.049	0.475	0.189	0.0	0.652	0.639	0.013
13440	кануть	NGTV	-0.7	0.088	0.48	0.275	0.157	0.0	0.393	0.706	-0.313
13441	канцелярист	NEUT	0.14	0.222	0.037	0.593	0.148	0.0	0.329	0.648	-0.319
13442	канцелярия	NEUT	0.05	0.205	0.0	0.704	0.091	0.0	0.357	0.584	-0.227
13443	канцелярский	NEUT	0.0	0.1	0.04	0.72	0.14	0.0	0.286	0.616	-0.33
13444	канцелярщина	NGTV	-0.57	0.127	0.373	0.275	0.225	0.07	0.372	0.665	-0.293
13445	канцероген	NGTV	-0.78	0.103	0.41	0.188	0.299	0.0	0.622	0.693	-0.071
13446	канцлер	NEUT	0.0	0.071	0.036	0.786	0.107	0.0	0.553	0.724	-0.171
13447	канцлерский	NEUT	0.0	0.098	0.078	0.706	0.118	0.0	0.508	0.643	-0.135
13448	канцтовары	NEUT	0.28	0.295	0.068	0.539	0.098	0.0	0.409	0.552	-0.143
13449	каньон	NEUT	0.13	0.205	0.023	0.567	0.205	0.0	0.64	0.562	0.078
13450	канючить	NGTV	-1.0	0.082	0.582	0.142	0.194	0.0	0.441	0.649	-0.208
13451	капание	NEUT	0.12	0.186	0.068	0.526	0.22	0.0	0.522	0.564	-0.042
13452	капать	NEUT	0.07	0.214	0.071	0.691	0.024	0.0	0.625	0.636	-0.011
13453	капелька	NEUT	0.3	0.303	0.066	0.533	0.098	0.0	0.675	0.558	0.117
13454	капельница	NEUT	0.12	0.195	0.154	0.545	0.106	0.04	0.62	0.522	0.098
13455	капельный	NEUT	0.0	0.0	0.0	0.897	0.103	0.0	0.587	0.601	-0.014
13456	капилляр	NEUT	0.1	0.214	0.071	0.644	0.071	0.0	0.658	0.645	0.013
13457	капиллярный	NEUT	0.0	0.136	0.023	0.614	0.227	0.0	0.633	0.608	0.025
13458	капитал	NEUT	0.45	0.367	0.067	0.424	0.142	0.0	0.343	0.784	-0.441
13459	капитализм	NEUT	-0.21	0.165	0.226	0.47	0.139	0.1	0.353	0.73	-0.377
13460	капиталист	NEUT	-0.24	0.152	0.223	0.437	0.188	0.1	0.295	0.719	-0.424
13461	капиталистический	NEUT	-0.2	0.161	0.196	0.42	0.223	0.14	0.33	0.652	-0.322
13462	капиталовложение	NEUT	0.44	0.324	0.065	0.389	0.222	0.0	0.388	0.794	-0.406
13463	капиталовложения	PSTV	0.63	0.422	0.039	0.294	0.245	0.0	0.442	0.772	-0.33
13464	капитальность	NEUT	0.51	0.42	0.02	0.41	0.15	0.0	0.364	0.798	-0.434
13465	капитальный	NEUT	0.52	0.409	0.061	0.382	0.148	0.0	0.42	0.743	-0.323
13466	капитан	NEUT	0.42	0.387	0.049	0.484	0.08	0.0	0.455	0.687	-0.232
13467	капитан-лейтенант	NEUT	0.29	0.29	0.05	0.52	0.14	0.0	0.462	0.723	-0.261
13468	капитанский	NEUT	0.34	0.322	0.058	0.513	0.107	0.0	0.455	0.651	-0.196
13469	капитанство	NEUT	0.44	0.362	0.057	0.429	0.152	0.0	0.425	0.693	-0.268
13470	капитанша	NEUT	0.17	0.215	0.149	0.52	0.116	0.04	0.504	0.609	-0.105
13471	капитулировать	NGTV	-0.63	0.11	0.45	0.31	0.13	0.0	0.461	0.687	-0.226
13472	капитуляция	NGTV	-0.42	0.136	0.291	0.321	0.252	0.12	0.583	0.695	-0.112
13473	капкан	NGTV	-0.9	0.036	0.651	0.217	0.096	0.0	0.649	0.628	0.021
13474	каплеобразный	NEUT	0.0	0.1	0.08	0.63	0.19	0.0	0.564	0.606	-0.042
13475	капнуть	NEUT	0.0	0.133	0.044	0.712	0.111	0.0	0.638	0.617	0.021
13476	капот	NEUT	0.03	0.172	0.034	0.622	0.172	0.0	0.553	0.675	-0.122
13477	капрал	NEUT	0.0	0.146	0.067	0.585	0.202	0.0	0.527	0.665	-0.138
13478	капремонт	NEUT	0.45	0.306	0.083	0.352	0.259	0.0	0.386	0.784	-0.398
13479	каприз	NGTV	-0.83	0.087	0.604	0.242	0.067	0.0	0.625	0.536	0.089
13480	капризница	NGTV	-1.0	0.138	0.647	0.129	0.086	0.0	0.532	0.367	0.165
13481	капризничать	NGTV	-1.0	0.022	0.783	0.13	0.065	0.0	0.635	0.519	0.116
13482	капризность	NGTV	-1.0	0.038	0.755	0.15	0.057	0.0	0.631	0.686	-0.055
13483	капризный	NGTV	-1.0	0.092	0.738	0.124	0.046	0.0	0.566	0.47	0.096
13484	капрон	NEUT	0.11	0.185	0.071	0.548	0.196	0.0	0.532	0.639	-0.107
13485	капроновый	NEUT	0.08	0.181	0.069	0.583	0.167	0.0	0.587	0.571	0.016
13486	капсула	NEUT	0.0	0.146	0.024	0.732	0.098	0.0	0.639	0.545	0.094
13487	капуста	NEUT	0.48	0.423	0.036	0.451	0.09	0.0	0.489	0.598	-0.109
13488	капустка	PSTV	0.58	0.458	0.033	0.359	0.15	0.0	0.637	0.483	0.154
13489	капустница	NEUT	-0.13	0.15	0.18	0.48	0.19	0.07	0.648	0.445	0.203
13490	капустный	NEUT	0.13	0.183	0.096	0.5	0.221	0.0	0.484	0.565	-0.081
13491	капут	NGTV	-1.0	0.064	0.745	0.127	0.064	0.0	0.58	0.581	-0.001
13492	капучино	NEUT	0.46	0.407	0.034	0.457	0.102	0.0	0.683	0.486	0.197
13493	капуччино	NEUT	0.43	0.415	0.016	0.504	0.065	0.0	0.7	0.447	0.253
13494	капуша	NGTV	-0.83	0.086	0.517	0.207	0.19	0.0	0.68	0.577	0.103
13495	капюшон	NEUT	0.09	0.192	0.027	0.589	0.192	0.0	0.554	0.535	0.019
13496	кара	NGTV	-1.0	0.0	0.805	0.146	0.049	0.0	0.504	0.649	-0.145
13497	карабин	NEUT	0.05	0.157	0.13	0.537	0.176	0.0	0.455	0.637	-0.182
13498	карабканье	NEUT	0.16	0.208	0.139	0.524	0.129	0.02	0.592	0.58	0.012
13499	карабкаться	NEUT	0.27	0.282	0.073	0.532	0.113	0.0	0.433	0.684	-0.251
13500	каравай	PSTV	0.94	0.606	0.03	0.182	0.182	0.0	0.41	0.665	-0.255
13501	караван	NEUT	0.2	0.255	0.038	0.584	0.123	0.0	0.617	0.552	0.065
13502	каракатица	NEUT	-0.01	0.122	0.138	0.529	0.211	0.0	0.642	0.637	0.005
13503	каракуль	NEUT	-0.26	0.149	0.215	0.388	0.248	0.13	0.672	0.563	0.109
13504	карамель	PSTV	0.62	0.554	0.015	0.393	0.038	0.0	0.592	0.617	-0.025
13505	карамелька	PSTV	0.9	0.669	0.066	0.224	0.041	0.0	0.59	0.543	0.047
13506	карамельный	PSTV	0.66	0.475	0.075	0.3	0.15	0.0	0.477	0.525	-0.048
13507	карандаш	NEUT	0.17	0.227	0.045	0.569	0.159	0.0	0.563	0.61	-0.047
13508	карандашик	NEUT	0.29	0.31	0.043	0.552	0.095	0.0	0.585	0.61	-0.025
13509	карандашный	NEUT	0.05	0.181	0.087	0.622	0.11	0.0	0.586	0.547	0.039
13510	карантин	NGTV	-0.74	0.134	0.513	0.261	0.092	0.01	0.641	0.575	0.066
13511	карантинный	NGTV	-0.79	0.168	0.513	0.193	0.126	0.09	0.663	0.528	0.135
13512	караоке	PSTV	0.56	0.496	0.034	0.419	0.051	0.0	0.499	0.549	-0.05
13513	карапуз	PSTV	0.76	0.559	0.102	0.276	0.063	0.0	0.613	0.673	-0.06
13514	карапузик	PSTV	0.85	0.639	0.041	0.246	0.074	0.0	0.598	0.619	-0.021
13515	карась	NEUT	0.25	0.281	0.035	0.57	0.114	0.0	0.554	0.712	-0.158
13516	карат	NEUT	0.32	0.283	0.071	0.465	0.181	0.0	0.46	0.701	-0.241
13517	карате	NEUT	0.4	0.349	0.073	0.468	0.11	0.0	0.382	0.539	-0.157
13518	каратель	NGTV	-1.0	0.082	0.525	0.114	0.279	0.0	0.435	0.702	-0.267
13519	карательный	NGTV	-1.0	0.067	0.6	0.133	0.2	0.0	0.449	0.693	-0.244
13520	каратист	NEUT	0.26	0.267	0.086	0.526	0.121	0.0	0.409	0.686	-0.277
13521	карать	NGTV	-0.93	0.088	0.676	0.207	0.029	0.0	0.457	0.704	-0.247
13522	караул	NGTV	-0.77	0.089	0.467	0.222	0.222	0.0	0.398	0.53	-0.132
13523	караулить	NEUT	-0.09	0.12	0.18	0.55	0.15	0.0	0.609	0.591	0.018
13524	караульщик	NEUT	0.0	0.097	0.065	0.773	0.065	0.0	0.609	0.615	-0.006
13525	карбонат	NEUT	0.07	0.209	0.045	0.686	0.06	0.0	0.376	0.733	-0.357
13526	карбонатный	NEUT	0.07	0.146	0.039	0.475	0.34	0.0	0.389	0.678	-0.289
13527	карбюратор	NEUT	0.0	0.16	0.0	0.76	0.08	0.0	0.412	0.702	-0.29
13528	карга	NGTV	-1.0	0.048	0.619	0.143	0.19	0.0	0.539	0.625	-0.086
13529	кардамон	NEUT	0.15	0.18	0.027	0.469	0.324	0.0	0.647	0.689	-0.042
13530	кардиган	NEUT	0.0	0.089	0.054	0.625	0.232	0.0	0.694	0.459	0.235
13531	кардинал	NEUT	0.04	0.172	0.069	0.621	0.138	0.0	0.585	0.751	-0.166
13532	кардинальный	NEUT	0.02	0.167	0.067	0.633	0.133	0.0	0.443	0.679	-0.236
13533	кардиобольной	NGTV	-0.79	0.02	0.608	0.274	0.098	0.0	0.573	0.452	0.121
13534	кардиограмма	NEUT	0.17	0.228	0.071	0.559	0.142	0.0	0.605	0.503	0.102
13535	кардиограф	NEUT	0.29	0.28	0.04	0.5	0.18	0.0	0.502	0.559	-0.057
13536	кардиолог	NEUT	0.46	0.39	0.048	0.438	0.124	0.0	0.519	0.539	-0.02
13537	кардиологический	NEUT	0.0	0.108	0.027	0.703	0.162	0.0	0.557	0.633	-0.076
13538	кардиология	NEUT	0.36	0.325	0.068	0.487	0.12	0.0	0.559	0.572	-0.013
13539	кардиомонитор	NEUT	0.19	0.23	0.03	0.54	0.2	0.0	0.546	0.537	0.009
13540	кардиостимулятор	NEUT	0.29	0.277	0.059	0.496	0.168	0.0	0.624	0.486	0.138
13541	кардиохирург	PSTV	0.62	0.49	0.048	0.347	0.115	0.0	0.495	0.623	-0.128
13542	кардиохирургия	NEUT	0.49	0.402	0.068	0.41	0.12	0.0	0.502	0.639	-0.137
13543	кареглазый	NEUT	0.33	0.325	0.067	0.525	0.083	0.0	0.481	0.686	-0.205
13544	карельский	NEUT	0.06	0.135	0.083	0.451	0.331	0.0	0.533	0.586	-0.053
13545	карета	NEUT	0.16	0.233	0.06	0.595	0.112	0.0	0.649	0.517	0.132
13546	каретка	NEUT	0.1	0.161	0.043	0.484	0.312	0.0	0.567	0.633	-0.066
13547	каретный	NEUT	0.1	0.161	0.065	0.484	0.29	0.0	0.5	0.651	-0.151
13548	кариес	NGTV	-1.0	0.057	0.887	0.056	0.0	0.0	0.554	0.655	-0.101
13549	карикатура	NEUT	-0.33	0.202	0.279	0.365	0.154	0.24	0.461	0.646	-0.185
13550	карикатурист	NEUT	0.12	0.207	0.034	0.587	0.172	0.0	0.565	0.647	-0.082
13551	карикатурность	NGTV	-0.39	0.148	0.304	0.363	0.185	0.12	0.427	0.76	-0.333
13552	карикатурный	NEUT	-0.25	0.198	0.217	0.368	0.217	0.26	0.399	0.662	-0.263
13553	карканье	NGTV	-0.42	0.086	0.358	0.45	0.106	0.0	0.632	0.612	0.02
13554	каркас	NEUT	0.14	0.214	0.0	0.572	0.214	0.0	0.556	0.661	-0.105
13555	каркасный	NEUT	0.0	0.1	0.075	0.525	0.3	0.0	0.62	0.621	-0.001
13556	каркать	NGTV	-0.56	0.041	0.463	0.389	0.107	0.0	0.473	0.575	-0.102
13557	каркнуть	NGTV	-0.44	0.109	0.352	0.422	0.117	0.01	0.479	0.644	-0.165
13558	карлик	NEUT	-0.17	0.15	0.225	0.55	0.075	0.02	0.491	0.672	-0.181
13559	карликовость	NGTV	-0.36	0.085	0.322	0.483	0.11	0.0	0.55	0.669	-0.119
13560	карликовый	NEUT	0.0	0.082	0.163	0.673	0.082	0.0	0.649	0.587	0.062
13561	карма	NEUT	-0.24	0.205	0.25	0.447	0.098	0.2	0.41	0.735	-0.325
13562	карман	NEUT	0.0	0.098	0.024	0.756	0.122	0.0	0.399	0.737	-0.338
13563	карманник	NGTV	-1.0	0.088	0.676	0.118	0.118	0.0	0.287	0.708	-0.421
13564	карманница	NGTV	-1.0	0.087	0.592	0.137	0.184	0.0	0.513	0.529	-0.016
13565	карманный	NEUT	0.09	0.188	0.102	0.585	0.125	0.0	0.306	0.648	-0.342
13566	карманчик	NEUT	0.44	0.375	0.075	0.442	0.108	0.0	0.55	0.705	-0.155
13567	кармашек	NEUT	0.09	0.208	0.038	0.641	0.113	0.0	0.546	0.659	-0.113
13568	карнавал	PSTV	0.8	0.636	0.025	0.281	0.058	0.0	0.707	0.58	0.127
13569	карнавальный	PSTV	0.93	0.667	0.051	0.205	0.077	0.0	0.588	0.593	-0.005
13570	карниз	NEUT	0.17	0.25	0.025	0.625	0.1	0.0	0.526	0.718	-0.192
13571	карп	NEUT	0.16	0.244	0.024	0.618	0.114	0.0	0.57	0.625	-0.055
13572	карпатский	NEUT	0.0	0.086	0.052	0.603	0.259	0.0	0.509	0.654	-0.145
13573	карри	NEUT	0.12	0.176	0.059	0.5	0.265	0.0	0.569	0.543	0.026
13574	карт	NEUT	0.0	0.094	0.043	0.376	0.487	0.0	0.457	0.54	-0.083
13575	карта	NEUT	0.13	0.246	0.023	0.677	0.054	0.0	0.503	0.571	-0.068
13576	картавить	NGTV	-0.39	0.104	0.322	0.444	0.13	0.0	0.485	0.662	-0.177
13577	картавость	NEUT	-0.31	0.115	0.295	0.5	0.09	0.0	0.479	0.737	-0.258
13578	картавый	NGTV	-0.45	0.105	0.371	0.427	0.097	0.0	0.435	0.667	-0.232
13579	картина	NEUT	0.15	0.244	0.098	0.634	0.024	0.0	0.617	0.66	-0.043
13580	картинка	NEUT	0.32	0.308	0.06	0.512	0.12	0.0	0.501	0.451	0.05
13581	картинность	NEUT	-0.27	0.177	0.231	0.384	0.208	0.19	0.48	0.632	-0.152
13582	картинный	NEUT	0.16	0.204	0.102	0.527	0.167	0.0	0.501	0.625	-0.124
13583	картиночка	PSTV	0.56	0.466	0.043	0.396	0.095	0.0	0.566	0.569	-0.003
13584	картограф	NEUT	0.3	0.276	0.079	0.48	0.165	0.0	0.373	0.636	-0.263
13585	картографирование	NEUT	0.34	0.304	0.059	0.48	0.157	0.0	0.429	0.663	-0.234
13586	картографический	NEUT	0.16	0.214	0.049	0.543	0.194	0.0	0.467	0.596	-0.129
13587	картография	NEUT	0.02	0.179	0.036	0.678	0.107	0.0	0.349	0.607	-0.258
13588	картон	NEUT	0.0	0.118	0.0	0.745	0.137	0.0	0.546	0.625	-0.079
13589	картонка	NEUT	0.0	0.127	0.079	0.667	0.127	0.0	0.534	0.587	-0.053
13590	картонный	NEUT	0.0	0.159	0.119	0.659	0.063	0.0	0.561	0.539	0.022
13591	картотека	NEUT	0.08	0.192	0.038	0.616	0.154	0.0	0.331	0.549	-0.218
13592	картотечный	NEUT	0.05	0.131	0.084	0.458	0.327	0.0	0.379	0.535	-0.156
13593	картофелина	NEUT	0.08	0.196	0.0	0.63	0.174	0.0	0.469	0.623	-0.154
13594	картофель	NEUT	0.12	0.236	0.0	0.673	0.091	0.0	0.451	0.594	-0.143
13595	картофельный	NEUT	0.21	0.27	0.061	0.599	0.07	0.0	0.436	0.58	-0.144
13596	картоха	NEUT	0.54	0.422	0.086	0.371	0.121	0.0	0.41	0.608	-0.198
13597	карточка	NEUT	0.0	0.128	0.0	0.641	0.231	0.0	0.464	0.659	-0.195
13598	карточный	NEUT	-0.04	0.128	0.162	0.573	0.137	0.0	0.405	0.608	-0.203
13599	картошечка	PSTV	0.81	0.653	0.017	0.28	0.05	0.0	0.474	0.557	-0.083
13600	картошина	NEUT	0.38	0.342	0.051	0.479	0.128	0.0	0.369	0.645	-0.276
13601	картошка	NEUT	0.44	0.402	0.041	0.483	0.074	0.0	0.436	0.606	-0.17
13602	картридж	NEUT	0.1	0.198	0.057	0.594	0.151	0.0	0.561	0.655	-0.094
13603	картёжник	NGTV	-0.47	0.092	0.328	0.362	0.218	0.0	0.368	0.657	-0.289
13604	карусель	PSTV	0.68	0.561	0.033	0.341	0.065	0.0	0.618	0.575	0.043
13605	карусельный	NEUT	0.38	0.327	0.059	0.465	0.149	0.0	0.493	0.63	-0.137
13606	карцер	NGTV	-1.0	0.077	0.654	0.154	0.115	0.0	0.571	0.527	0.044
13607	карьеризм	NEUT	0.37	0.276	0.168	0.324	0.232	0.2	0.373	0.687	-0.314
13608	карьерист	NEUT	0.41	0.348	0.208	0.337	0.107	0.24	0.363	0.586	-0.223
13609	карьеристка	NEUT	-0.31	0.238	0.297	0.406	0.059	0.27	0.605	0.356	0.249
13610	карьеристский	NEUT	0.42	0.287	0.208	0.238	0.267	0.36	0.256	0.685	-0.429
13611	карьерный	NEUT	0.39	0.357	0.098	0.491	0.054	0.0	0.325	0.722	-0.397
13612	касание	NEUT	0.02	0.205	0.0	0.772	0.023	0.0	0.694	0.587	0.107
13613	касательная	NEUT	0.0	0.101	0.084	0.655	0.16	0.0	0.489	0.65	-0.161
13614	касательный	NEUT	0.0	0.071	0.0	0.81	0.119	0.0	0.457	0.628	-0.171
13615	касательство	NEUT	0.14	0.167	0.083	0.444	0.306	0.0	0.39	0.748	-0.358
13616	касатка	NEUT	0.23	0.269	0.092	0.572	0.067	0.0	0.553	0.631	-0.078
13617	касаться	NEUT	0.15	0.235	0.084	0.622	0.059	0.0	0.503	0.625	-0.122
13618	каска	NEUT	0.14	0.239	0.022	0.652	0.087	0.0	0.482	0.592	-0.11
13619	каскад	NEUT	0.15	0.202	0.048	0.532	0.218	0.0	0.545	0.653	-0.108
13620	каскадёр	NEUT	0.24	0.28	0.04	0.58	0.1	0.0	0.407	0.761	-0.354
13621	каспийский	NEUT	0.09	0.208	0.057	0.641	0.094	0.0	0.458	0.636	-0.178
13622	касса	NEUT	0.1	0.221	0.047	0.662	0.07	0.0	0.304	0.688	-0.384
13623	кассета	NEUT	0.11	0.239	0.043	0.696	0.022	0.0	0.417	0.547	-0.13
13624	кассир	NEUT	0.09	0.232	0.036	0.714	0.018	0.0	0.388	0.653	-0.265
13625	кассирша	NEUT	0.18	0.217	0.13	0.523	0.13	0.0	0.546	0.564	-0.018
13626	кассовый	NEUT	0.05	0.172	0.034	0.587	0.207	0.0	0.266	0.696	-0.43
13627	кастет	NGTV	-0.61	0.05	0.455	0.337	0.158	0.0	0.411	0.648	-0.237
13628	кастинг	NEUT	0.28	0.287	0.059	0.525	0.129	0.0	0.498	0.673	-0.175
13629	кастомизация	PSTV	0.55	0.346	0.093	0.29	0.271	0.01	0.366	0.642	-0.276
13630	касторка	NEUT	0.16	0.192	0.154	0.471	0.183	0.08	0.394	0.604	-0.21
13631	касторовый	NEUT	0.14	0.171	0.095	0.458	0.276	0.0	0.403	0.62	-0.217
13632	кастрировать	NGTV	-0.8	0.119	0.595	0.262	0.024	0.0	0.568	0.535	0.033
13633	кастрюлька	NEUT	0.38	0.341	0.03	0.485	0.144	0.0	0.505	0.559	-0.054
13634	кастрюля	NEUT	0.02	0.186	0.0	0.712	0.102	0.0	0.501	0.589	-0.088
13635	катавасия	NGTV	-0.77	0.078	0.466	0.223	0.233	0.0	0.565	0.526	0.039
13636	катаклизм	NGTV	-0.96	0.093	0.63	0.175	0.102	0.0	0.585	0.645	-0.06
13637	катакомба	NEUT	-0.21	0.077	0.231	0.509	0.183	0.0	0.571	0.597	-0.026
13638	каталажка	NGTV	-0.63	0.127	0.363	0.216	0.294	0.09	0.647	0.479	0.168
13639	катализатор	NEUT	0.18	0.19	0.087	0.461	0.262	0.0	0.442	0.754	-0.312
13640	катализировать	NEUT	0.02	0.152	0.061	0.575	0.212	0.0	0.491	0.62	-0.129
13641	каталка	NEUT	0.1	0.193	0.07	0.579	0.158	0.0	0.601	0.495	0.106
13642	каталог	NEUT	0.12	0.222	0.022	0.623	0.133	0.0	0.437	0.651	-0.214
13643	каталогизировать	NEUT	0.28	0.216	0.059	0.401	0.324	0.0	0.58	0.549	0.031
13644	каталожный	NEUT	0.06	0.15	0.067	0.5	0.283	0.0	0.457	0.625	-0.168
13645	каталонец	NEUT	0.0	0.147	0.059	0.588	0.206	0.0	0.463	0.728	-0.265
13646	катамаран	NEUT	0.33	0.347	0.04	0.554	0.059	0.0	0.745	0.501	0.244
13647	катание	NEUT	0.33	0.348	0.035	0.565	0.052	0.0	0.658	0.479	0.179
13648	катанье	NEUT	0.48	0.394	0.024	0.423	0.159	0.0	0.609	0.537	0.072
13649	катапульта	NEUT	-0.22	0.129	0.257	0.555	0.059	0.0	0.469	0.654	-0.185
13650	катапультирование	NEUT	0.13	0.206	0.118	0.568	0.108	0.0	0.513	0.65	-0.137
13651	катапультировать	NEUT	-0.08	0.13	0.2	0.63	0.04	0.0	0.464	0.681	-0.217
13652	катапультироваться	NEUT	0.21	0.214	0.126	0.466	0.194	0.02	0.493	0.655	-0.162
13653	катаракта	NGTV	-0.9	0.0	0.636	0.212	0.152	0.0	0.596	0.614	-0.018
13654	катастрофа	NGTV	-1.0	0.042	0.847	0.069	0.042	0.0	0.525	0.685	-0.16
13655	катастрофизм	NGTV	-1.0	0.083	0.583	0.126	0.208	0.0	0.434	0.715	-0.281
13656	катастрофически	NGTV	-1.0	0.0	0.8	0.14	0.06	0.0	0.524	0.529	-0.005
13657	катастрофический	NGTV	-1.0	0.044	0.822	0.067	0.067	0.0	0.375	0.694	-0.319
13658	катастрофичность	NGTV	-1.0	0.0	0.923	0.039	0.038	0.0	0.453	0.725	-0.272
13659	катастрофичный	NGTV	-1.0	0.077	0.731	0.134	0.058	0.0	0.417	0.597	-0.18
13660	катать	NEUT	0.17	0.238	0.048	0.595	0.119	0.0	0.648	0.507	0.141
13661	кататься	NEUT	0.3	0.319	0.034	0.563	0.084	0.0	0.698	0.51	0.188
13662	катафалк	NGTV	-0.96	0.0	0.56	0.16	0.28	0.0	0.681	0.663	0.018
13663	категорически	NGTV	-0.58	0.05	0.458	0.367	0.125	0.0	0.457	0.535	-0.078
13664	категорический	NGTV	-0.44	0.129	0.35	0.392	0.129	0.06	0.366	0.626	-0.26
13665	категоричность	NGTV	-0.4	0.159	0.326	0.371	0.144	0.13	0.422	0.606	-0.184
13666	категоричный	NGTV	-0.45	0.172	0.371	0.354	0.103	0.15	0.396	0.569	-0.173
13667	категория	NEUT	0.23	0.257	0.053	0.54	0.15	0.0	0.403	0.629	-0.226
13668	катер	NEUT	0.21	0.272	0.035	0.614	0.079	0.0	0.561	0.573	-0.012
13669	катерный	NEUT	0.0	0.073	0.036	0.564	0.327	0.0	0.478	0.621	-0.143
13670	катерок	NEUT	0.38	0.32	0.058	0.457	0.165	0.0	0.663	0.6	0.063
13671	катет	NEUT	0.0	0.115	0.0	0.77	0.115	0.0	0.607	0.631	-0.024
