	term	tag	value	pstv	ngtv	neut	dunno	pstvNgtvDisagreementRatio	Female	Male	F - M
28880	полечить	PSTV	0.91	0.679	0.026	0.218	0.077	0.0	0.618	0.624	-0.006
28881	полечиться	PSTV	0.67	0.526	0.052	0.327	0.095	0.0	0.637	0.56	0.077
28882	полечь	NGTV	-0.47	0.1	0.26	0.25	0.39	0.09	0.556	0.677	-0.121
28883	ползание	NEUT	0.0	0.143	0.063	0.667	0.127	0.0	0.535	0.557	-0.022
28884	ползать	NEUT	0.0	0.154	0.128	0.65	0.068	0.0	0.46	0.662	-0.202
28885	ползти	NEUT	0.0	0.15	0.1	0.7	0.05	0.0	0.482	0.645	-0.163
28886	ползунок	NEUT	0.0	0.13	0.065	0.566	0.239	0.0	0.691	0.562	0.129
28887	ползучий	NEUT	0.0	0.065	0.152	0.718	0.065	0.0	0.53	0.676	-0.146
28888	поливалка	NEUT	0.0	0.119	0.071	0.762	0.048	0.0	0.496	0.609	-0.113
28889	поливальщик	NEUT	0.06	0.2	0.033	0.667	0.1	0.0	0.449	0.673	-0.224
28890	поливание	NEUT	0.34	0.318	0.061	0.507	0.114	0.0	0.524	0.609	-0.085
28891	поливать	NEUT	0.39	0.397	0.017	0.543	0.043	0.0	0.545	0.684	-0.139
28892	поливаться	NEUT	0.08	0.171	0.098	0.536	0.195	0.0	0.537	0.641	-0.104
28893	поливка	NEUT	0.44	0.361	0.045	0.429	0.165	0.0	0.441	0.615	-0.174
28894	поливной	NEUT	0.0	0.118	0.059	0.647	0.176	0.0	0.437	0.523	-0.086
28895	поливочный	NEUT	0.06	0.158	0.053	0.526	0.263	0.0	0.53	0.592	-0.062
28896	полигамный	NEUT	-0.01	0.111	0.119	0.46	0.31	0.0	0.455	0.647	-0.192
28897	полиглот	PSTV	0.8	0.577	0.072	0.252	0.099	0.0	0.424	0.649	-0.225
28898	полигон	NEUT	0.0	0.157	0.059	0.647	0.137	0.0	0.505	0.568	-0.063
28899	полиграф	NEUT	0.16	0.241	0.0	0.621	0.138	0.0	0.385	0.553	-0.168
28900	полиграфический	NEUT	0.02	0.2	0.0	0.76	0.04	0.0	0.355	0.7	-0.345
28901	полизать	NEUT	-0.02	0.143	0.161	0.607	0.089	0.0	0.503	0.695	-0.192
28902	поликлиника	NEUT	0.28	0.283	0.117	0.517	0.083	0.0	0.502	0.57	-0.068
28903	полимер	NEUT	0.01	0.157	0.039	0.608	0.196	0.0	0.5	0.633	-0.133
28904	полиметаллический	NEUT	0.0	0.04	0.04	0.64	0.28	0.0	0.523	0.654	-0.131
28905	полинезийцы	NEUT	0.0	0.037	0.037	0.593	0.333	0.0	0.612	0.605	0.007
28906	полинялый	NGTV	-0.43	0.076	0.248	0.305	0.371	0.0	0.489	0.596	-0.107
28907	полинять	NGTV	-0.55	0.103	0.419	0.358	0.12	0.0	0.32	0.68	-0.36
28908	полип	NGTV	-0.37	0.119	0.267	0.366	0.248	0.06	0.485	0.627	-0.142
28909	полировальный	NEUT	0.18	0.238	0.038	0.581	0.143	0.0	0.334	0.646	-0.312
28910	полирование	NEUT	0.28	0.287	0.04	0.534	0.139	0.0	0.433	0.67	-0.237
28911	полированный	NEUT	0.46	0.383	0.043	0.426	0.148	0.0	0.557	0.598	-0.041
28912	полировать	NEUT	0.43	0.347	0.04	0.425	0.188	0.0	0.471	0.665	-0.194
