	term	tag	Female	Male	F - M
8371	догрызть	NEUT	0.669	0.543	0.126
8393	дождик	NEUT	0.673	0.549	0.124
8396	дождичек	PSTV	0.727	0.577	0.15
8467	докрасна	NEUT	0.665	0.496	0.169
8555	дом	PSTV	0.662	0.571	0.091
8560	домик	PSTV	0.768	0.566	0.202
8570	домишко	NEUT	0.668	0.572	0.096
8576	домовладелица	NEUT	0.697	0.483	0.214
8583	домоправительница	NEUT	0.691	0.432	0.259
8586	домоседка	NEUT	0.682	0.349	0.333
8864	доярка	NEUT	0.661	0.518	0.143
8882	дракончик	PSTV	0.672	0.562	0.11
8932	дремать	NEUT	0.722	0.5	0.222
8933	дремота	NEUT	0.654	0.491	0.163
8939	дрессировать	NEUT	0.679	0.427	0.252
8941	дрессировочный	NEUT	0.652	0.511	0.141
8943	дрессировщица	NEUT	0.756	0.376	0.38
9027	дудочка	NEUT	0.686	0.581	0.105
9028	дума	NEUT	0.655	0.509	0.146
9051	дурман	NGTV	0.671	0.574	0.097
9178	египтянка	NEUT	0.662	0.559	0.103
9210	единорог	PSTV	0.661	0.561	0.1
9248	ель	NEUT	0.712	0.584	0.128
9287	жаворонок	NEUT	0.695	0.522	0.173
9295	жакет	NEUT	0.666	0.566	0.1
9296	жакетик	NEUT	0.652	0.531	0.121
9317	жар-птица	PSTV	0.716	0.599	0.117
9318	жара	NEUT	0.656	0.524	0.132
9333	жасмин	NEUT	0.715	0.61	0.105
9374	желеобразный	NEUT	0.655	0.556	0.099
9424	жеребёнок	NEUT	0.698	0.512	0.186
9467	живописать	PSTV	0.684	0.561	0.123
9592	журчание	NEUT	0.692	0.548	0.144
9601	жюльен	NEUT	0.706	0.602	0.104
9725	забываться	NGTV	0.656	0.548	0.108
9777	завестись	NGTV	0.725	0.557	0.168
9851	завораживающе	PSTV	0.69	0.366	0.324
9868	завтракать	NEUT	0.653	0.481	0.172
9905	загарпунить	NEUT	0.656	0.543	0.113
9911	загипнотизировать	NEUT	0.691	0.5	0.191
9963	загончик	NEUT	0.68	0.581	0.099
9969	загорать	NEUT	0.721	0.497	0.224
9974	загореть	NEUT	0.651	0.504	0.147
9975	загореться	NEUT	0.683	0.525	0.158
10116	задремать	NEUT	0.691	0.561	0.13
10119	задрыхнуть	NEUT	0.709	0.552	0.157
10133	задуть	NEUT	0.706	0.532	0.174
10143	задышать	PSTV	0.652	0.559	0.093
10167	зажечь	NEUT	0.668	0.556	0.112
10178	зажигать	NEUT	0.747	0.54	0.207
10188	зажмуривать	NEUT	0.681	0.572	0.109
10189	зажмуриваться	NEUT	0.703	0.575	0.128
10191	зажмуриться	NEUT	0.732	0.579	0.153
10244	заискриться	PSTV	0.705	0.5	0.205
10245	зайка	PSTV	0.672	0.51	0.162
10250	зайчик	PSTV	0.69	0.561	0.129
10251	зайчиха	NEUT	0.68	0.451	0.229
10253	зайчонок	PSTV	0.723	0.522	0.201
10276	закаменеть	NGTV	0.685	0.594	0.091
10329	заклинательница	NEUT	0.653	0.548	0.105
10344	заклятие	NGTV	0.659	0.544	0.115
10365	заколыхаться	NEUT	0.685	0.558	0.127
10436	закружиться	NEUT	0.724	0.558	0.166
10591	замерзание	NGTV	0.657	0.549	0.108
10592	замерзать	NGTV	0.731	0.492	0.239
10699	замёрзнуть	NGTV	0.714	0.461	0.253
10728	заночевать	NEUT	0.695	0.559	0.136
10797	запахнуть	NEUT	0.701	0.573	0.128
10816	запеть	NEUT	0.651	0.53	0.121
10863	заплетать	NEUT	0.653	0.557	0.096
10870	заплясать	NEUT	0.723	0.6	0.123
10942	запрокидываться	NEUT	0.651	0.529	0.122
10986	запыхтеть	NGTV	0.713	0.58	0.133
10987	запьянеть	NGTV	0.659	0.53	0.129
11065	заря	PSTV	0.682	0.493	0.189
11068	зарядиться	PSTV	0.659	0.448	0.211
11091	засветлеть	NEUT	0.683	0.546	0.137
11098	засвистеть	NEUT	0.66	0.55	0.11
11125	засиять	PSTV	0.693	0.552	0.141
11137	заскучать	NGTV	0.744	0.492	0.252
11165	заснуть	NEUT	0.697	0.527	0.17
11283	засыпать	NEUT	0.72	0.608	0.112
11292	затанцевать	PSTV	0.662	0.508	0.154
11314	затворница	NGTV	0.67	0.409	0.261
11324	затейница	PSTV	0.678	0.44	0.238
11460	заурчать	NEUT	0.742	0.549	0.193
11510	захмелеть	NGTV	0.677	0.505	0.172
11517	захолодеть	NGTV	0.653	0.551	0.102
11529	захрустеть	NEUT	0.664	0.548	0.116
11598	зачмокать	PSTV	0.666	0.504	0.162
11651	защемлять	NGTV	0.705	0.54	0.165
11691	звезда	NEUT	0.651	0.559	0.092
11693	звездолёт	NEUT	0.719	0.567	0.152
11696	звездопад	PSTV	0.733	0.569	0.164
11699	звездчатый	NEUT	0.678	0.573	0.105
11700	звенеть	NEUT	0.691	0.59	0.101
11709	звероферма	NEUT	0.686	0.518	0.168
11753	звёздный	PSTV	0.705	0.577	0.128
11754	звёздочка	PSTV	0.775	0.549	0.226
11756	зданьице	NEUT	0.674	0.519	0.155
11776	зебра	NEUT	0.666	0.561	0.105
11780	зевать	NEUT	0.663	0.565	0.098
11790	зелье	NEUT	0.668	0.57	0.098
11792	зелёненький	NEUT	0.686	0.534	0.152
11843	зефир	PSTV	0.693	0.505	0.188
11964	знахарка	NEUT	0.682	0.473	0.209
11977	знойное	NGTV	0.664	0.528	0.136
12011	зонтик	NEUT	0.691	0.507	0.184
12020	зоосад	NEUT	0.695	0.585	0.11
12079	зёрнышко	PSTV	0.659	0.563	0.096
12081	ива	NEUT	0.683	0.564	0.119
12082	иван-чай	NEUT	0.696	0.569	0.127
12116	игрушечка	PSTV	0.685	0.523	0.162
12117	игрушечный	NEUT	0.652	0.537	0.115
12144	идиллия	PSTV	0.688	0.55	0.138
12199	избушка	NEUT	0.659	0.501	0.158
12323	изжевать	NGTV	0.683	0.584	0.099
12355	излучать	NEUT	0.735	0.538	0.197
